
HDPK Dharmasena,141,87,33,1222,69,22.62,1879,2,4,0,65.03
Shaiman Anwar,40,40,1,1219,106,31.25,1477,2,11,1,82.53
Noor Ali Zadran,51,50,1,1216,114,24.81,1923,4,7,1,63.23
TM Moody,76,64,12,1211,89,23.28,1747,6,10,0,69.31
Junaid Siddique,54,53,1,1196,100,23,1753,6,6,1,68.22
Mohammad Rafique,125,106,17,1191,77,13.38,1663,15,2,0,71.61
CR Woakes,99,68,20,1186,95,24.7,1316,6,4,0,90.12
B Lee,221,110,44,1176,59,17.81,1407,16,3,0,83.58
JA Rudolph,45,39,6,1174,81,35.57,1725,0,7,0,68.05
Nawroz Mangal,49,48,6,1139,129,27.11,1512,4,4,2,75.33
MH Cross,52,48,1,1136,114,24.17,1536,0,5,2,73.95
T Mishra,42,40,7,1128,72,34.18,1534,4,8,0,73.53
HM Nicholls,45,43,10,1120,124,33.93,1359,5,9,1,82.41
PL Mommsen,44,42,6,1115,139,30.97,1615,2,6,2,69.04
MF Maharoof,109,75,18,1113,69,19.52,1294,3,2,0,86.01
CJ Anderson,49,45,5,1109,131,27.72,1020,4,4,1,108.72
HS Modi,63,56,9,1109,78,23.59,1906,5,5,0,58.18
ES Szwarczynski,41,40,3,1102,98,29.78,1615,2,10,0,68.23
VS Solanki,51,46,5,1097,106,26.75,1504,2,5,2,72.93
B Zuiderent,57,56,10,1097,77,23.84,1873,7,8,0,58.56
PA Strang,95,73,24,1090,47,22.24,1651,5,0,0,66.02
G Boycott,36,34,4,1082,105,36.06,2020,1,9,1,53.56
F Behardien,59,49,14,1074,70,30.68,1097,4,6,0,97.9
NL McCullum,84,62,11,1070,65,20.98,1220,3,4,0,87.7
Asif Mujtaba,66,55,14,1068,113,26.04,1671,8,6,1,63.91
DW Randall,49,45,5,1067,88,26.67,1702,4,5,0,62.69
Hashmatullah Shahidi,39,39,6,1062,97,32.18,1667,4,9,0,63.7
DS Smith,47,45,2,1059,107,24.62,1506,4,5,1,70.31
JK Kamande,86,72,11,1055,74,17.29,1685,8,3,0,62.61
IDS Smith,98,77,16,1055,62,17.29,1061,7,3,0,99.43
C Kieswetter,46,40,5,1054,107,30.11,1172,4,5,1,89.93
